id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.078493,2491098264,38,7842092984,50439482.0,0.080437,0.077826,-0.001683162034631328,-2.09932,-59680189.6575675,-2.33969,31765732300.0,100000000000.0,100000000000.0,0.331336,-76.31001,2025-09-01T12:20:09.597Z,0.07726,1.5963,2026-04-11T07:56:04.528Z,,2026-04-19T09:11:26.303Z
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4784.6,2362152832,39,2362152832,89670498.0,4808.13,4769.75,-19.951250939990132,-0.41526,-9801221.369941711,-0.41321,493648.962,493648.962,,5619.09,-14.84439,2026-01-29T06:30:56.612Z,1399.64,241.87119,2019-11-18T03:09:35.959Z,,2026-04-19T09:11:26.280Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,244.52,2348853289,40,5139459790,205073505.0,251.32,240.49,-6.531062536892591,-2.60151,-69378561.11736107,-2.86898,9597491.0,21000000.0,21000000.0,757.6,-67.66239,2024-03-07T18:45:36.466Z,30.83,694.65324,2023-05-14T08:57:53.732Z,,2026-04-19T09:11:22.100Z
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.999728,2273279059,41,2273279059,71153506.0,0.999997,0.999643,-0.000104237974418386,-0.01043,-233745.63343954086,-0.01028,2273942034.326522,2273942034.326522,,1.65,-39.57582,2025-01-30T00:11:05.728Z,0.907561,10.1554,2024-11-11T23:55:50.604Z,,2026-04-19T09:11:23.756Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/MNT_Token_Logo.png?1765516974,0.652962,2140578232,42,4061367102,31239316.0,0.670084,0.651089,-0.014721553276822785,-2.20487,-47790465.03852987,-2.18384,3277944055.53684,6219316794.889999,6219316794.89,2.86,-77.12754,2025-10-09T01:04:46.659Z,0.307978,112.03549,2023-10-18T02:50:46.942Z,,2026-04-19T09:11:22.548Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.jpg?1766533446,1.26,2115536699,43,2115536699,189483328.0,1.31,1.25,-0.04639737449935444,-3.55462,-82942278.56621218,-3.77271,1679909802.060953,1679909802.060953,2100000000.0,54.98,-97.71293,2021-11-04T14:10:09.301Z,1.15,9.46666,2026-04-15T08:00:42.788Z,,2026-04-19T09:11:20.867Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.28,2076532710,44,2938991088,177740152.0,3.44,3.25,-0.1434266125624748,-4.1897,-96357213.31495523,-4.43452,633561603.6037512,896702420.0366304,1000000000.0,44.92,-92.7119,2021-05-03T05:25:04.822Z,1.03,217.7797,2020-09-17T01:20:38.214Z,,2026-04-19T09:11:21.436Z
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.998742,1786899358,45,1786899358,539374.0,0.999767,0.997381,0.0006322,0.06334,656735.0,0.03677,1789430761.634864,1789430761.634864,,1.075,-7.06234,2025-05-08T21:25:42.071Z,0.943422,5.85838,2025-07-08T10:16:34.749Z,,2026-04-19T09:11:24.220Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.075868,1760115268,46,1781016199,5873995.0,0.077831,0.075148,-0.001781875860800683,-2.29477,-41846547.970933914,-2.32228,23187321473.168045,23462665147.36596,23462665147.3,0.100535,-24.48346,2024-12-04T10:13:57.264Z,0.03582727,111.90764,2025-02-03T05:01:48.626Z,,2026-04-19T09:11:23.390Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,83.75,1758908161,47,1758908161,16274761.0,85.52,83.55,-1.774032746065373,-2.07437,-40396295.59453535,-2.24511,21000000.0,21000000.0,21000000.0,228.74,-63.37428,2025-10-05T00:00:00.000Z,0.580608,14329.26326,2019-01-14T00:00:00.000Z,,2026-04-19T09:11:23.584Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.172376,1756819749,48,2702799614,24149267.0,0.184054,0.171015,-0.010379708731358961,-5.67956,-114503115.31821203,-6.11883,10192193055.96566,15680297009.17794,100000000000.0,2.99,-94.23277,2025-02-26T16:41:03.732Z,0.131244,31.28423,2026-02-11T17:06:46.605Z,,2026-04-19T09:11:24.096Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.34,1728959729,49,1728959808,190290316.0,1.41,1.33,-0.06568088393106919,-4.68277,-89255515.13705468,-4.90896,1293262521.0,1293262580.0,,20.44,-93.46555,2022-01-16T22:09:45.873Z,0.526762,153.53351,2020-11-04T16:09:15.137Z,,2026-04-19T09:11:20.966Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.674804,1657213293,50,5272842936,154254324.0,0.675884,0.663392,0.00367895,0.54818,-8006459.567876339,-0.4808,2458559719.12999,7822529124.595041,8000000000.0,2.41,-71.98513,2025-09-24T11:18:14.634Z,0.099713,576.74335,2025-09-17T12:05:36.771Z,,2026-04-19T09:11:25.356Z
